track_id,track_name,artist_name,year,genre,tempo,popularity,acousticness,danceability,energy,loudness
3drdWsJKiVCSQ2gKhd9BDT,Savior,Kendrick Lamar,2022,rap,124.84,71,0.495,0.605,0.692,-7.45
1q8DwZtQen5fvyB7cKbShC,Walkin,Denzel Curry,2022,rap,135.983,72,0.134,0.557,0.654,-7.201
0oPpchtgx4hZ2J246g5mqn,Home Ain't Home (feat. Rod Wave),YoungBoy Never Broke Again,2022,rap,82.055,67,0.424,0.773,0.602,-6.777
7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",2022,rap,123.977,75,0.167,0.814,0.628,-7.178
410TZrK18uRjtsTunG14cl,Middle of the Ocean,"Drake, 21 Savage",2022,rap,76.815,71,0.18,0.466,0.703,-5.774
6koKhrBBcExADvWuOgceNZ,Open Arms (feat. Travis Scott),SZA,2022,rap,78.259,72,0.753,0.434,0.586,-7.612
3uJFmluXzYedoJcvhpC1AW,Hot Shit (feat. Ye & Lil Durk),"Cardi B, Kanye West, Lil Durk",2022,rap,157.003,71,0.00152,0.878,0.685,-5.28
67IECOggWzBnCERhbOlTRp,Center Core Never More,"$uicideboy$, Germ",2022,rap,167.003,69,0.0105,0.655,0.782,-6.825
3QQXpvZd9qmzHZ02wDf2im,I Dream of Chrome,"$uicideboy$, Germ",2022,rap,149.994,69,0.0484,0.84,0.934,-3.717
4iwjEJYExvmBM5w75RTuLv,Dangerous State of Mind,Chri$tian Gate$,2022,rap,150.047,70,0.0563,0.697,0.874,-4.045
5FwJ3Oevf84jNZE4kJ6mKh,Love Overdose,Rod Wave,2022,rap,139.933,67,0.0191,0.658,0.572,-9.966
6dGqGkYDoRrKh5UiIcTT22,Understand,BoyWithUke,2022,rap,103.051,75,0.81,0.828,0.658,-6.19
0P2P1AxcRYhiZvoF5MyRmM,Rumors (feat. Lil Durk),"Gucci Mane, Lil Durk",2022,rap,159.897,69,0.0499,0.688,0.842,-4.211
6LoaYlv0bC1TyctuADqNFh,$uicideboy$ Were Better In 2015,$uicideboy$,2022,rap,110.024,68,0.0301,0.883,0.822,-4.029
3ihIZrJreMJPjQdNLrEXnP,In A Minute,Lil Baby,2022,rap,84.216,72,0.0336,0.643,0.605,-5.968
54NBD72JXFXzrodbQBSzWh,Sunshine,"Tyga, Jhené Aiko, Pop Smoke",2022,rap,97.989,72,0.0267,0.746,0.647,-6.673
6PQK1Y3Dl6dym9pj0y9Chy,Give You What You Want,Lil Tjay,2022,rap,89.467,72,0.222,0.691,0.656,-5.673
31lopd32BkJBTSgYE16c5e,In A Minute,Lil Baby,2022,rap,113.42,71,0.0279,0.626,0.583,-6.102
1AZjCZSGEjlxUufFQwSszF,Wild Flower (with youjeen),RM,2022,rap,154.992,80,0.0282,0.486,0.766,-5.821
3vySEUpD0tc801F2WZDLYw,Freaky Deaky,"Tyga, Doja Cat",2022,rap,104.019,72,0.019,0.799,0.653,-5.453
72XhVH8vlREICt6NmT623Q,WASTE - Sped Up Version,Kxllswxtch,2022,rap,79.365,77,0.836,0.592,0.227,-10.329
5WbKBMz6y0FbUdZl18XlJO,Wrath,Freddie Dredd,2022,rap,149.229,71,0.0931,0.789,0.541,-6.449
6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Sean Paul,2022,rap,100.216,77,0.614,0.741,0.824,-4.143
7Ddk8FhoYKdsVoX9AOCPMm,STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,2022,rap,129.974,71,0.0668,0.677,0.495,-7.174
